paper,references,weight
Burazin 2016,Baker 2004,1
Burazin 2016,Baker 2004,1
Burazin 2016,Baker 2004,1
Burazin 2016,Baker 2004,1
Burazin 2016,Baker 2006,1
Burazin 2016,Baker 2008,1
Burazin 2016,Baker 2010,1
Burazin 2016,Bloom 1996,1
Burazin 2016,Bloom 1996,1
Burazin 2016,Bloom 1996,1
Burazin 2016,Bloom 1996,1
Burazin 2016,Bloom 1996,1
Burazin 2016,Burazin 2014,1
Burazin 2016,MacCormick 2007,1
Burazin 2016,Ehrenberg 2009,1
Burazin 2016,Ehrenberg 2009,1
Burazin 2016,Elder 2007,1
Burazin 2016,Finnis 1984,1
Burazin 2016,Gardner 2004,1
Burazin 2016,Gardner 2004,1
Burazin 2016,Grandy 2007,1
Burazin 2016,Hart 1994,1
Burazin 2016,Hart 1994,1
Burazin 2016,Hilpinen 1992,1
Burazin 2016,Hilpinen 1992,1
Burazin 2016,Hilpinen 1992,1
Burazin 2016,Hilpinen 1992,1
Burazin 2016,Hilpinen 1993,1
Burazin 2016,Hilpinen 1993,1
Burazin 2016,Hilpinen 1993,1
Burazin 2016,Hilpinen 1993,1
Burazin 2016,Hilpinen 1993,1
Burazin 2016,Hilpinen 2011,1
Burazin 2016,Hilpinen 2011,1
Burazin 2016,Hilpinen 2011,1
Burazin 2016,Hilpinen 2011,1
Burazin 2016,Hilpinen 2011,1
Burazin 2016,Hilpinen 2011,1
Burazin 2016,Hilpinen 2011,1
Burazin 2016,Kornblith 2007,1
Burazin 2016,Leiter 2011,1
Burazin 2016,Leiter 2011,1
Burazin 2016,Leiter 2011,1
Burazin 2016,Leiter 2013,1
Burazin 2016,Levinson 2007,1
Burazin 2016,Levinson 2007,1
Burazin 2016,Levinson 2007,1
Burazin 2016,Roversi 2012,1
Burazin 2016,Roversi 2012,1
Burazin 2016,Roversi Borghi Tummolini 2013,1
Burazin 2016,Schauer 2012,1
Burazin 2016,Schauer 2012,1
Burazin 2016,Searle 1995,1
Burazin 2016,Searle 1995,1
Burazin 2016,Searle 1995,1
Burazin 2016,Searle 2010,1
Burazin 2016,Thomasson 2003a,1
Burazin 2016,Thomasson 2003a,1
Burazin 2016,Thomasson 2003a,1
Burazin 2016,Thomasson 2003a,1
